run_type,dataset,model,prompt_mode,challenge_group,categories,weighted_iou,mean_iou,mean_boundary_f1,category_count,instance_count
zero_shot,blenderproc_cogar_sim,sam_vit_h,point,small_parts_thin_structures,"cable, connector, screw, tool",0.82084628021183,0.8124082967043122,0.8720449024780098,4,2368
zero_shot,isaac_official_unitree_g1,sam_vit_b,box,transparent_reflective_surfaces,"metal_part, transparent_glass",0.8213105583800083,0.8263104774201353,0.9022817312629479,2,9991
zero_shot,blenderproc_cogar_sim,sam_vit_b,automatic,transparent_reflective_surfaces,"glass_object, metal_part",0.8282853433052028,0.8160348573116125,0.82947207531464,2,1503
baseline,blenderproc_cogar_sim,yolo8_seg,inference,robot_and_occlusion,robot_gripper,0.8328621140384417,0.8328621140384417,0.8361415712775668,1,73
zero_shot,blenderproc_cogar_sim,sam_vit_h,automatic,small_parts_thin_structures,"cable, connector, screw, tool",0.8329831126482636,0.8351659677004967,0.8839847399211862,4,2368
zero_shot,ocid,sam_vit_b,box,other,object,0.8339219829882085,0.8339219829882085,0.7514250642879597,1,21487
zero_shot,blenderproc_cogar_sim,sam_vit_h,point,scene_support_and_background,"box, table",0.8377474987241441,0.8576232534704671,0.7652834804359776,2,2269
zero_shot,ocid,sam_vit_h,automatic,other,object,0.8382905606713064,0.8382905606713064,0.7762349661080024,1,21487
zero_shot,blenderproc_cogar_sim,sam_vit_b,box,robot_and_occlusion,robot_gripper,0.841486604578983,0.841486604578983,0.8681948452203898,1,1633
zero_shot,isaac_official_unitree_g1,sam2_hiera_large,box,scene_support_and_background,"background_fixture, storage_bin, workbench",0.8421077783519829,0.8160902448687448,0.7491872907172302,3,17683
zero_shot,isaac_official_unitree_g1,sam_vit_h,box,transparent_reflective_surfaces,"metal_part, transparent_glass",0.8443900099294895,0.8491202231166242,0.9224821312797059,2,9991
zero_shot,ocid,sam_vit_h,box,other,object,0.8452409639470332,0.8452409639470332,0.7754535484397148,1,21487
